Country,Total Cases,Total Deaths,Total Recovered
USA,"163,479 ","3,148","5,506"
Malaysia,"2,626 ",37,479
Indonesia,"1,414 ",122,75
India,"1,251 ",32,102
Poland,"2,055 ",31,7
Philippines,"1,546 ",78,42
Denmark,"2,577 ",77,1
Ireland,"2,910 ",54,5
Sweden,"4,028 ",146,16
Norway,"4,445 ",32,12
Australia,"4,460 ",19,244
Canada,"7,448 ",89,"1,093"
Israel,"4,695 ",16,161
Iraq,630 ,46,152
Brazil,"4,630 ",163,120
Hong Kong,683 ,4,118
Portugal,"6,408 ",140,43
Austria,"9,618 ",108,636
Greece,"1,212 ",46,52
China,"81,470 ","3,304","75,700"
Algeria,584 ,35,37
Switzerland,"15,922 ",359,"1,823"
Netherlands,"11,750 ",864,250
Belgium,"11,899 ",513,"1,527"
UK,"22,141 ","1,408",135
S. Korea,"9,661 ",158,"5,228"
France,"44,550 ","3,024","7,927"
Turkey,"10,827 ",168,162
Italy,"101,739 ","11,591","14,620"
Germany,"66,885 ",645,"13,500"
Iran,"41,495 ","2,757","13,911"
Spain,"87,956 ","7,716","16,780"
